symbol	keggID
A2M	04610
NAT1	00232
NAT1	00983
NAT1	01100
NAT2	00232
NAT2	00983
NAT2	01100
AANAT	00380
AANAT	01100
AARS1	00970
ABAT	00250
ABAT	00280
ABAT	00410
ABAT	00640
ABAT	00650
ABAT	01100
ABCA1	02010
ABCA1	04975
ABCA2	02010
ABCA2	04142
ABCA3	02010
ABCB7	02010
ABCA4	02010
ABL1	04012
ABL1	04110
ABL1	04360
ABL1	04722
ABL1	05130
ABL1	05131
ABL1	05200
ABL1	05220
ABL1	05416
AOC1	00330
AOC1	00340
AOC1	00380
ABL2	04012
ABL2	05416
ABO	00601
ABO	01100
ACAA1	00071
ACAA1	00280
ACAA1	01040
ACAA1	01100
ACAA1	03320
ACAA1	04146
ACACA	00061
ACACA	00620
ACACA	00640
ACACA	01100
ACACA	04910
ACACB	00061
ACACB	00620
ACACB	00640
ACACB	01100
ACACB	04910
ACACB	04920
ACADL	00071
ACADL	01100
ACADL	03320
ACADM	00071
ACADM	00280
ACADM	00410
ACADM	00640
ACADM	01100
ACADM	03320
ACADS	00071
ACADS	00280
ACADS	00650
ACADS	01100
ACADSB	00071
ACADSB	00280
ACADSB	01100
ACADVL	00071
ACADVL	01100
ACAT1	00071
ACAT1	00072
ACAT1	00280
ACAT1	00310
ACAT1	00380
ACAT1	00620
ACAT1	00630
ACAT1	00640
ACAT1	00650
ACAT1	00900
ACAT1	01100
ACAT2	00071
ACAT2	00072
ACAT2	00280
ACAT2	00310
ACAT2	00380
ACAT2	00620
ACAT2	00630
ACAT2	00640
ACAT2	00650
ACAT2	00900
ACAT2	01100
ACAT2	04975
ASIC2	04742
ACHE	00564
ACLY	00020
ACLY	01100
ACO1	00020
ACO1	00630
ACO1	01100
ACO2	00020
ACO2	00630
ACO2	01100
ACOX1	00071
ACOX1	00592
ACOX1	01040
ACOX1	01100
ACOX1	03320
ACOX1	04146
ACP1	00740
ACP1	04520
ACP2	00740
ACP2	04142
ACP5	00740
ACP5	04142
ACP5	04380
ACP5	05323
ACP3	00740
ACTA2	04270
ACTB	04145
ACTB	04510
ACTB	04520
ACTB	04530
ACTB	04670
ACTB	04810
ACTB	04971
ACTB	05100
ACTB	05110
ACTB	05130
ACTB	05131
ACTB	05410
ACTB	05412
ACTB	05414
ACTB	05416
ACTC1	04260
ACTC1	05410
ACTC1	05414
ACTG1	04145
ACTG1	04510
ACTG1	04520
ACTG1	04530
ACTG1	04670
ACTG1	04810
ACTG1	05100
ACTG1	05110
ACTG1	05130
ACTG1	05131
ACTG1	05410
ACTG1	05412
ACTG1	05414
ACTG1	05416
ACTG2	04270
ACTN4	04510
ACTN4	04520
ACTN4	04530
ACTN4	04670
ACTN4	04810
ACTN4	05146
ACTN4	05322
ACTN4	05412
ACTN1	04510
ACTN1	04520
ACTN1	04530
ACTN1	04670
ACTN1	04810
ACTN1	05146
ACTN1	05322
ACTN1	05412
ACTN2	04510
ACTN2	04520
ACTN2	04530
ACTN2	04670
ACTN2	04810
ACTN2	05146
ACTN2	05322
ACTN2	05412
ACTN3	04510
ACTN3	04520
ACTN3	04530
ACTN3	04670
ACTN3	04810
ACTN3	05146
ACTN3	05322
ACTN3	05412
ACVR1	04060
ACVR1	04350
ACVR1B	04060
ACVR2A	04060
ACVR2A	04350
ACVR2B	04060
ACVR2B	04350
ACY1	00330
ACY1	01100
ACYP1	00620
ACYP2	00620
ADA	00230
ADA	01100
ADA	05340
ADAM10	05010
ADAM10	05120
ADAR	04623
ADCY1	00230
ADCY1	04020
ADCY1	04062
ADCY1	04114
ADCY1	04270
ADCY1	04540
ADCY1	04720
ADCY1	04912
ADCY1	04914
ADCY1	04916
ADCY1	04970
ADCY1	04971
ADCY1	04972
ADCY1	04976
ADCY1	05142
ADCY1	05146
ADCY1	05414
ADCY2	00230
ADCY2	04020
ADCY2	04062
ADCY2	04114
ADCY2	04270
ADCY2	04540
ADCY2	04912
ADCY2	04914
ADCY2	04916
ADCY2	04970
ADCY2	04971
ADCY2	04972
ADCY2	04976
ADCY2	05414
ADCY3	00230
ADCY3	04020
ADCY3	04062
ADCY3	04114
ADCY3	04270
ADCY3	04540
ADCY3	04740
ADCY3	04912
ADCY3	04914
ADCY3	04916
ADCY3	04962
ADCY3	04970
ADCY3	04971
ADCY3	04972
ADCY3	04976
ADCY3	05110
ADCY3	05414
ADCY5	00230
ADCY5	04062
ADCY5	04114
ADCY5	04270
ADCY5	04540
ADCY5	04912
ADCY5	04914
ADCY5	04916
ADCY5	04970
ADCY5	04971
ADCY5	04972
ADCY5	04976
ADCY5	05414
ADCY6	00230
ADCY6	04062
ADCY6	04114
ADCY6	04270
ADCY6	04540
ADCY6	04742
ADCY6	04912
ADCY6	04914
ADCY6	04916
ADCY6	04962
ADCY6	04970
ADCY6	04971
ADCY6	04972
ADCY6	04976
ADCY6	05414
ADCY7	00230
ADCY7	04020
ADCY7	04062
ADCY7	04114
ADCY7	04270
ADCY7	04540
ADCY7	04912
ADCY7	04914
ADCY7	04916
ADCY7	04970
ADCY7	04971
ADCY7	04972
ADCY7	04976
ADCY7	05414
ADCY8	00230
ADCY8	04020
ADCY8	04062
ADCY8	04114
ADCY8	04270
ADCY8	04540
ADCY8	04720
ADCY8	04742
ADCY8	04912
ADCY8	04914
ADCY8	04916
ADCY8	04970
ADCY8	04971
ADCY8	04972
ADCY8	04976
ADCY8	05414
ADCY9	00230
ADCY9	04020
ADCY9	04062
ADCY9	04114
ADCY9	04270
ADCY9	04540
ADCY9	04912
ADCY9	04914
ADCY9	04916
ADCY9	04962
ADCY9	04970
ADCY9	04971
ADCY9	04972
ADCY9	04976
ADCY9	05110
ADCY9	05414
ADCYAP1R1	04080
ADH1A	00010
ADH1A	00071
ADH1A	00350
ADH1A	00830
ADH1A	00980
ADH1A	00982
ADH1A	01100
ADH1B	00010
ADH1B	00071
ADH1B	00350
ADH1B	00830
ADH1B	00980
ADH1B	00982
ADH1B	01100
ADH1C	00010
ADH1C	00071
ADH1C	00350
ADH1C	00830
ADH1C	00980
ADH1C	00982
ADH1C	01100
ADH4	00010
ADH4	00071
ADH4	00350
ADH4	00830
ADH4	00980
ADH4	00982
ADH4	01100
ADH5	00010
ADH5	00071
ADH5	00350
ADH5	00830
ADH5	00980
ADH5	00982
ADH5	01100
ADH6	00010
ADH6	00071
ADH6	00350
ADH6	00830
ADH6	00980
ADH6	00982
ADH6	01100
ADH7	00010
ADH7	00071
ADH7	00350
ADH7	00830
ADH7	00980
ADH7	00982
ADH7	01100
ADK	00230
ADK	01100
ADORA1	04080
ADORA2A	04020
ADORA2A	04080
ADORA2A	04270
ADORA2B	04020
ADORA2B	04080
ADORA2B	04270
ADORA3	04080
PARP1	03410
PARP4	03410
ADRA1D	04020
ADRA1D	04080
ADRA1D	04270
ADRA1D	04970
ADRA1B	04020
ADRA1B	04080
ADRA1B	04270
ADRA1B	04970
ADRA1A	04020
ADRA1A	04080
ADRA1A	04270
ADRA1A	04970
ADRA2A	04080
ADRA2B	04080
ADRA2C	04080
ADRB1	04020
ADRB1	04080
ADRB1	04144
ADRB1	04540
ADRB1	04970
ADRB1	05414
ADRB2	04020
ADRB2	04080
ADRB2	04144
ADRB2	04970
ADRB3	04020
ADRB3	04080
ADRB3	04144
ADRB3	04970
GRK2	04062
GRK2	04144
GRK3	04062
GRK3	04144
GRK3	04740
ADSL	00230
ADSL	00250
ADSL	01100
ADSS2	00230
ADSS2	00250
ADSS2	01100
AP2A1	04144
AP2A1	05016
AP2A2	04144
AP2A2	05016
AP1B1	04142
AP2B1	04144
AP2B1	05016
AP1G1	04142
AGA	00511
AGA	04142
AGL	00500
AGL	01100
AGRP	04920
JAG1	04330
AGT	04614
AGTR1	04020
AGTR1	04080
AGTR1	04270
AGTR1	04614
AGTR2	04080
AGTR2	04614
APLNR	04080
AGXT	00250
AGXT	00260
AGXT	01100
AGXT	04146
AHCY	00270
AHCY	01100
AK1	00230
AK1	01100
AK2	00230
AK2	01100
AK4	00230
AK4	01100
AKT1	04010
AKT1	04012
AKT1	04062
AKT1	04150
AKT1	04210
AKT1	04370
AKT1	04380
AKT1	04510
AKT1	04530
AKT1	04620
AKT1	04630
AKT1	04660
AKT1	04662
AKT1	04664
AKT1	04666
AKT1	04722
AKT1	04910
AKT1	04914
AKT1	04920
AKT1	04973
AKT1	05142
AKT1	05145
AKT1	05160
AKT1	05200
AKT1	05210
AKT1	05211
AKT1	05212
AKT1	05213
AKT1	05214
AKT1	05215
AKT1	05218
AKT1	05220
AKT1	05221
AKT1	05222
AKT1	05223
AKT2	04010
AKT2	04012
AKT2	04062
AKT2	04150
AKT2	04210
AKT2	04370
AKT2	04380
AKT2	04510
AKT2	04530
AKT2	04620
AKT2	04630
AKT2	04660
AKT2	04662
AKT2	04664
AKT2	04666
AKT2	04722
