symbol	reactomeID
A1BG	R-HSA-109582
A1BG	R-HSA-114608
A1BG	R-HSA-168249
A1BG	R-HSA-168256
A1BG	R-HSA-6798695
A1BG	R-HSA-76002
A1BG	R-HSA-76005
NAT2	R-HSA-1430728
NAT2	R-HSA-156580
NAT2	R-HSA-156582
NAT2	R-HSA-211859
ADA	R-HSA-1430728
ADA	R-HSA-15869
ADA	R-HSA-74217
ADA	R-HSA-8956321
CDH2	R-HSA-1266738
CDH2	R-HSA-1266738
CDH2	R-HSA-1500931
CDH2	R-HSA-381426
CDH2	R-HSA-392499
CDH2	R-HSA-418990
CDH2	R-HSA-421270
CDH2	R-HSA-446728
CDH2	R-HSA-525793
CDH2	R-HSA-525793
CDH2	R-HSA-597592
CDH2	R-HSA-8957275
AKT3	R-HSA-109581
AKT3	R-HSA-109606
AKT3	R-HSA-111447
AKT3	R-HSA-114452
AKT3	R-HSA-1227986
AKT3	R-HSA-1257604
AKT3	R-HSA-1257604
AKT3	R-HSA-1266738
AKT3	R-HSA-1280215
AKT3	R-HSA-1280218
AKT3	R-HSA-1358803
AKT3	R-HSA-162582
AKT3	R-HSA-162582
AKT3	R-HSA-1640170
AKT3	R-HSA-1643685
AKT3	R-HSA-168256
AKT3	R-HSA-186712
AKT3	R-HSA-194138
AKT3	R-HSA-198323
AKT3	R-HSA-198323
AKT3	R-HSA-198693
AKT3	R-HSA-199418
AKT3	R-HSA-199991
AKT3	R-HSA-210745
AKT3	R-HSA-211163
AKT3	R-HSA-212436
AKT3	R-HSA-212436
AKT3	R-HSA-2219528
AKT3	R-HSA-3700989
AKT3	R-HSA-372790
AKT3	R-HSA-388396
AKT3	R-HSA-388841
AKT3	R-HSA-389356
AKT3	R-HSA-389357
AKT3	R-HSA-389513
AKT3	R-HSA-392451
AKT3	R-HSA-397795
AKT3	R-HSA-4420097
AKT3	R-HSA-453279
AKT3	R-HSA-5218920
AKT3	R-HSA-5357801
AKT3	R-HSA-5628897
AKT3	R-HSA-5633007
AKT3	R-HSA-5653656
AKT3	R-HSA-5663202
AKT3	R-HSA-5674400
AKT3	R-HSA-6804757
AKT3	R-HSA-6804758
AKT3	R-HSA-6804759
AKT3	R-HSA-6806003
AKT3	R-HSA-6807070
AKT3	R-HSA-69202
AKT3	R-HSA-69206
AKT3	R-HSA-69242
AKT3	R-HSA-69278
AKT3	R-HSA-69656
AKT3	R-HSA-73857
AKT3	R-HSA-73857
AKT3	R-HSA-74160
AKT3	R-HSA-74160
AKT3	R-HSA-8863795
AKT3	R-HSA-8876198
AKT3	R-HSA-8878166
AKT3	R-HSA-8939211
AKT3	R-HSA-8941332
AKT3	R-HSA-8948751
AKT3	R-HSA-9006925
AKT3	R-HSA-9006925
AKT3	R-HSA-9006931
AKT3	R-HSA-9006934
AKT3	R-HSA-9007101
AKT3	R-HSA-9009391
AKT3	R-HSA-9607240
AKT3	R-HSA-9614085
AKT3	R-HSA-9614399
AKT3	R-HSA-9634638
MED6	R-HSA-1266738
