source,target
SLAIN2,chr4-p11
OCIAD2,chr4-p11
TEC,chr4-p11
ZAR1,chr4-p11
FRYL,chr4-p11
CWH43,chr4-p11
SLC10A4,chr4-p11
OCIAD1,chr4-p11
PLD5P1,chr10-p11.1
ZNF33A,chr10-p11.1
SYT10,chr12-p11.1
ALG10,chr12-p11.1
CSNKA2IP,chr3-p11.1
EPHA3,chr3-p11.1
ZNF37A,chr10-p11.1
C3orf38,chr3-p11.1
CGGBP1,chr3-p11.1
ZNF654,chr3-p11.1
OR4C13,chr11-p11.12
OR4C12,chr11-p11.12
TRIM51GP,chr11-p11.12
TRIM64C,chr11-p11.12
FOLH1,chr11-p11.12
TRIM49B,chr11-p11.12
TSPY9P,chrY-p11.2
TSPY10,chrY-p11.2
TSPY1,chrY-p11.2
PCDH11Y,chrY-p11.2
TGIF2LY,chrY-p11.2
SRY,chrY-p11.2
RPS4Y1,chrY-p11.2
ZFY,chrY-p11.2
AMELY,chrY-p11.2
TBL1Y,chrY-p11.2
TSPY2,chrY-p11.2
TSPY4,chrY-p11.2
TSPY8,chrY-p11.2
TSPY3,chrY-p11.2
SMIM34B,chr21-p11.2
TPTE,chr21-p11.2
KCNE1B,chr21-p11.2
SMIM11B,chr21-p11.2
FAM243B,chr21-p11.2
SPATA31A6,chr9-p11.2
MADD,chr11-p11.2
ZNF287,chr17-p11.2
NR1H3,chr11-p11.2
OR4X1,chr11-p11.2
ATPAF2,chr17-p11.2
ACP2,chr11-p11.2
NUP160,chr11-p11.2
PRIM2,chr6-p11.2
LRRC75A,chr17-p11.2
OR4S1,chr11-p11.2
OR4B1,chr11-p11.2
GRAPL,chr17-p11.2
ARFGAP2,chr11-p11.2
SLC47A1,chr17-p11.2
PEMT,chr17-p11.2
MIEF2,chr17-p11.2
HARBI1,chr11-p11.2
USP22,chr17-p11.2
DRC3,chr17-p11.2
FLII,chr17-p11.2
ARHGAP1,chr11-p11.2
ALKBH5,chr17-p11.2
KCNJ12,chr17-p11.2
DRG2,chr17-p11.2
NATD1,chr17-p11.2
TSPAN18,chr11-p11.2
CCT6A,chr7-p11.2
SEPTIN14,chr7-p11.2
NIPSNAP2,chr7-p11.2
PSPH,chr7-p11.2
ZNF713,chr7-p11.2
CKAP5,chr11-p11.2
GID4,chr17-p11.2
LRP4,chr11-p11.2
PACSIN3,chr11-p11.2
PRPSAP2,chr17-p11.2
NUPR2,chr7-p11.2
VOPP1,chr7-p11.2
CHST1,chr11-p11.2
F2,chr11-p11.2
SEC61G,chr7-p11.2
MRPS17,chr7-p11.2
AKAP10,chr17-p11.2
CDRT15L2,chr17-p11.2
TOP3A,chr17-p11.2
SMCR8,chr17-p11.2
FAM83G,chr17-p11.2
CNTNAP3B,chr9-p11.2
ZNF716,chr7-p11.2
ZNF624,chr17-p11.2
KCNJ18,chr17-p11.2
ZNF408,chr11-p11.2
ANKRD20A2P,chr9-p11.2
TP53TG3F,chr16-p11.2
IGHV3OR16-17,chr16-p11.2
TP53TG3,chr16-p11.2
